 Data, Somaj, Inflatie
 Luna ianuarie 2016,8.1,99.22
 Luna februarie 2016,7.8,99.76
 Luna martie 2016,7.9,100.1
 Luna aprilie 2016,7.4,99.85
 Luna mai 2016,7.2,100.25
 Luna iunie 2016,7.1,99.83
 Luna iulie 2016,7,99.76
 Luna august 2016,6.9,100.07
 Luna septembrie 2016,7.1,99.89
 Luna octombrie 2016,6.5,100.43
 Luna noiembrie 2016,6.6,100.07
 Luna decembrie 2016,6.8,100.24
 Luna ianuarie 2017,6.4,99.81
 Luna februarie 2017,6.6,99.91
 Luna martie 2017,6.6,100.08
 Luna aprilie 2017,6,100.28
 Luna mai 2017,6.3,100.28
 Luna iunie 2017,6,100.04
 Luna iulie 2017,6,100.32
 Luna august 2017,5.9,99.8
 Luna septembrie 2017,5.9,100.5
 Luna octombrie 2017,5.7,101.28
 Luna noiembrie 2017,5.9,100.66
 Luna decembrie 2017,5.8,100.32
 Luna ianuarie 2018,5.8,100.78
 Luna februarie 2018,5.7,100.3
 Luna martie 2018,5.7,100.29
 Luna aprilie 2018,5.4,100.54
 Luna mai 2018,5.2,100.47
 Luna iunie 2018,5.1,100.02
 Luna iulie 2018,5,99.52
 Luna august 2018,5,100.28
 Luna septembrie 2018,4.7,100.47
 Luna octombrie 2018,5.1,100.52
 Luna noiembrie 2018,5.2,99.87
 Luna decembrie 2018,5.1,100.16
 Luna ianuarie 2019,5.2,100.83
 Luna februarie 2019,5.1,100.79
 Luna martie 2019,4.9,100.49
 Luna aprilie 2019,5,100.61
 Luna mai 2019,4.7,100.46
 Luna iunie 2019,4.6,99.77
 Luna iulie 2019,4.9,99.8
 Luna august 2019,4.6,100.06
 Luna septembrie 2019,5,100.09
 Luna octombrie 2019,4.7,100.43
 Luna noiembrie 2019,4.9,100.23
 Luna decembrie 2019,5.1,100.42
 Luna ianuarie 2020,4.6,100.41
 Luna februarie 2020,5.3,100.25
 Luna martie 2020,5.8,100.5
 Luna aprilie 2020,6.3,100.26
 Luna mai 2020,6.5,100.05
 Luna iunie 2020,6.6,100.08
 Luna iulie 2020,6.5,100
 Luna august 2020,6.3,99.95
 Luna septembrie 2020,6.1,99.86
 Luna octombrie 2020,6.1,100.22
 Luna noiembrie 2020,6.3,100.13
 Luna decembrie 2020,6.5,100.34
 Luna ianuarie 2021,6,101.33
 Luna februarie 2021,6.2,100.41
 Luna martie 2021,6.1,100.38
 Luna aprilie 2021,5.4,100.45
 Luna mai 2021,5.1,100.53
 Luna iunie 2021,4.8,100.27
 Luna iulie 2021,5.3,100.97
 Luna august 2021,5.4,100.24
 Luna septembrie 2021,5.3,100.84
 Luna octombrie 2021,5.7,101.78
 Luna noiembrie 2021,5.8,100
 Luna decembrie 2021,6.2,100.71
 Luna ianuarie 2022,6.2,101.48
 Luna februarie 2022,6.1,100.58
 Luna martie 2022,5.8,101.88
 Luna aprilie 2022,5.4,103.74
 Luna mai 2022,5.4,101.18
 Luna iunie 2022,5.1,100.76
 Luna iulie 2022,5.4,100.89
 Luna august 2022,5.3,100.56
 Luna septembrie 2022,5.4,101.33
 Luna octombrie 2022,5.7,101.28
 Luna noiembrie 2022,5.8,101.25
 Luna decembrie 2022,5.9,100.37
 Luna ianuarie 2023,5.8,100.34
 Luna februarie 2023,5.6,100.98
 Luna martie 2023,5.6,101.01
 Luna aprilie 2023,5.4,100.75
 Luna mai 2023,5.4,100.64
 Luna iunie 2023,5.4,100.4
 Luna iulie 2023,5.5,100.15
 Luna august 2023,5.3,100.54
 Luna septembrie 2023,5.3,100.79
 Luna octombrie 2023,5.7,100.57
 Luna noiembrie 2023,5.8,99.99
 Luna decembrie 2023,6,100.26
 Luna ianuarie 2024,5.5,101.1
 Luna februarie 2024,5.2,100.81
 Luna martie 2024,5.1,100.42
 Luna aprilie 2024,5,100.08
 Luna mai 2024,5.1,99.89
 Luna iunie 2024,4.9,100.24
 Luna iulie 2024,5.7,100.6
 Luna august 2024,5.5,100.23
 Luna septembrie 2024,5.6,100.33
 Luna octombrie 2024,5.8,100.62
 Luna noiembrie 2024,5.7,100.41
 Luna decembrie 2024,6.1,100.29
 Luna ianuarie 2025,6.2,100.92
 Luna februarie 2025,6.2,100.88
 Luna martie 2025,6.3,100.27
 Luna aprilie 2025,6,100.07
 Luna mai 2025,5.9,100.46
 Luna iunie 2025,6,100.45
 Luna iulie 2025,5.9,102.68
 Luna august 2025,6,102.1
 Luna septembrie 2025,6,100.36
 Luna octombrie 2025,6.2,100.5
 Luna noiembrie 2025,6.4,100.42
 Luna decembrie 2025,6.3,100.22
